,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
230,Mission: Impossible - Fallout,2018,7.7,86.0,320215,220.16,147
231,Airplane!,1980,7.7,78.0,232705,83.4,88
232,American History X,1998,8.5,62.0,1094327,6.72,119
233,The Intouchables,2011,8.5,57.0,829406,13.18,112
234,Apollo 13,1995,7.7,77.0,288909,173.84,140
235,The Curious Case of Benjamin Button,2008,7.8,70.0,633802,127.51,166
236,Training Day,2001,7.7,69.0,423738,76.63,122
237,Gattaca,1997,7.8,64.0,297867,12.34,106
238,Life Is Beautiful,1997,8.6,59.0,674895,57.6,116
239,Fargo,1996,8.1,85.0,662680,24.61,98
240,12 Years a Slave,2013,8.1,96.0,684538,56.67,134
241,Sin City,2005,8.0,74.0,759571,74.1,124
242,Into the Wild,2007,8.1,73.0,610981,18.35,148
243,Inside Out,2015,8.2,94.0,685496,356.46,95
244,Coco,2017,8.4,81.0,474352,209.73,105
245,Your Name.,2016,8.4,79.0,248445,5.02,106
246,Toy Story,1995,8.3,95.0,960968,191.8,81
247,Hell or High Water,2016,7.6,88.0,224621,26.86,102
248,How to Train Your Dragon,2010,8.1,75.0,717930,217.58,98
249,Midnight in Paris,2011,7.7,81.0,415427,56.82,94
250,Soul,2020,8.0,83.0,307466,,100
251,Casino,1995,8.2,73.0,504781,42.44,178
252,Captain America: The Winter Soldier,2014,7.8,70.0,813241,259.77,136
253,Howl's Moving Castle,2004,8.2,80.0,377708,4.71,119
254,Paper Moon,1973,8.1,77.0,46750,30.93,102
255,Psycho,1960,8.5,97.0,651665,32.0,109
256,The Martian,2015,8.0,80.0,825937,228.43,144
257,The Incredibles,2004,8.0,90.0,707423,261.44,115
258,Spotlight,2015,8.1,93.0,458431,45.06,129
259,Star Trek,2009,7.9,82.0,597396,257.73,127
260,The Blues Brothers,1980,7.9,60.0,195356,57.23,133
261,Warrior,2011,8.2,71.0,462511,13.66,140
262,The Sound of Music,1965,8.1,63.0,225551,163.21,172
263,Tangled,2010,7.7,71.0,439189,200.82,100
264,Rocky,1976,8.1,70.0,558675,117.24,120
265,Room,2015,8.1,86.0,407831,14.68,118
266,Kick-Ass,2010,7.6,66.0,552323,48.07,117
267,Silver Linings Playbook,2012,7.7,81.0,697553,132.09,122
268,Crash,2004,7.8,66.0,432937,54.58,112
269,Trainspotting,1996,8.1,83.0,672606,16.5,93
270,Donnie Brasco,1997,7.7,76.0,299667,41.91,127
271,RoboCop,1987,7.6,67.0,251986,53.42,102
272,Rush,2013,8.1,74.0,467515,26.95,123
273,District 9,2009,7.9,81.0,669298,115.65,112
274,The Godfather: Part III,1990,7.6,60.0,386492,66.67,162
275,The Hobbit: The Desolation of Smaug,2013,7.8,66.0,641611,258.37,161
276,Dallas Buyers Club,2013,7.9,79.0,476614,27.3,117
277,The Lego Movie,2014,7.7,83.0,345503,257.76,100
278,Black Hawk Down,2001,7.7,74.0,388284,108.64,144
279,The Little Mermaid,1989,7.6,88.0,255156,111.54,83
280,A Star Is Born,2018,7.6,88.0,372148,215.29,136
281,Cast Away,2000,7.8,73.0,574620,233.63,143
282,Amélie,2001,8.3,69.0,742091,33.23,122
283,"Lock, Stock and Two Smoking Barrels",1998,8.2,66.0,569994,3.9,107
284,Predator,1987,7.8,45.0,399084,59.74,107
285,500 Days of Summer,2009,7.7,76.0,501930,32.39,95
286,Casablanca,1942,8.5,100.0,558393,1.02,102
287,Wonder,2017,7.9,66.0,159640,132.42,113
288,Finding Nemo,2003,8.2,90.0,1014804,380.84,100
289,Gone with the Wind,1939,8.2,97.0,309602,198.68,238
290,Young Frankenstein,1974,8.0,80.0,155332,86.3,106
291,Inside Man,2006,7.6,76.0,365479,88.51,129
292,The Game,1997,7.7,61.0,382677,48.32,129
293,Children of Men,2006,7.9,84.0,491296,35.55,109
294,Manchester by the Sea,2016,7.8,96.0,273092,47.7,137
295,The Butterfly Effect,2004,7.6,30.0,479595,57.94,113
296,The Last Samurai,2003,7.8,55.0,428630,111.11,154
297,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87.0,616902,42.34,119
298,Hidden Figures,2016,7.8,74.0,221939,169.61,127
299,Moonrise Kingdom,2012,7.8,84.0,343298,45.51,94
300,3 Idiots,2009,8.4,67.0,384708,6.53,170
301,"Blood In, Blood Out",1993,7.9,47.0,30915,4.5,180
302,Life of Brian,1979,8.0,77.0,392071,20.05,94
303,Home Alone,1990,7.7,63.0,551728,285.76,103
304,WALL·E,2008,8.4,95.0,1081022,223.81,98
305,Hunt for the Wilderpeople,2016,7.8,81.0,126637,5.2,101
306,Cinema Paradiso,1988,8.5,80.0,253974,11.99,155
307,In Bruges,2008,7.9,67.0,413094,7.76,107
308,"Crouching Tiger, Hidden Dragon",2000,7.9,94.0,265281,128.08,120
309,X-Men: Days of Future Past,2014,8.0,75.0,696549,233.92,132
310,Marriage Story,2019,7.9,94.0,293149,2.0,137
311,Captain Fantastic,2016,7.8,72.0,213426,5.88,118
312,Man on Fire,2004,7.7,47.0,355793,77.91,146
313,Indiana Jones and the Last Crusade,1989,8.2,65.0,736783,197.17,127
314,Kung Fu Panda,2008,7.6,74.0,454715,215.43,92
315,As Good as It Gets,1997,7.7,67.0,294304,148.48,139
316,Dances with Wolves,1990,8.0,72.0,259039,184.21,181
317,"Monsters, Inc.",2001,8.1,79.0,880851,289.92,92
318,Fried Green Tomatoes,1991,7.7,64.0,73413,82.42,130
319,Minority Report,2002,7.7,80.0,539118,132.07,145
320,Incendies,2010,8.3,80.0,171448,6.86,131
321,Baahubali 2: The Conclusion,2017,8.2,,90911,20.19,167
322,The Fly,1986,7.6,79.0,175929,40.46,96
323,Back to the Future Part II,1989,7.8,57.0,517108,118.5,108
324,Taken,2008,7.8,51.0,592550,145.0,90
325,Saw,2004,7.6,46.0,409579,56.0,103
326,Dark Waters,2019,7.6,73.0,83710,,126
327,Mystic River,2003,7.9,84.0,448245,90.14,138
328,The Machinist,2004,7.7,61.0,381152,1.08,101
329,Eastern Promises,2007,7.6,82.0,239594,17.11,100
330,American Gangster,2007,7.8,76.0,418313,130.16,157
331,Once Upon a Time in the West,1968,8.5,80.0,322767,5.32,165
332,Chinatown,1974,8.2,92.0,319026,8.49,130
333,Up,2009,8.3,88.0,1011413,293.0,96
334,The Lives of Others,2006,8.4,89.0,382547,11.29,137
335,Before Sunrise,1995,8.1,77.0,297780,5.54,101
336,Toy Story 4,2019,7.7,84.0,237193,434.04,100
337,Lost in Translation,2003,7.7,89.0,443928,44.59,102
338,In the Heat of the Night,1967,7.9,75.0,74979,24.38,110
339,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,97.0,479284,0.28,95
340,The Deer Hunter,1978,8.1,86.0,333020,48.98,183
341,Rain Man,1988,8.0,65.0,502303,178.8,133
342,Halloween,1978,7.7,87.0,265229,47.0,91
343,12 Monkeys,1995,8.0,74.0,607696,57.14,129
344,The Outlaw Josey Wales,1976,7.8,69.0,72349,31.8,135
345,Die Hard with a Vengeance,1995,7.6,58.0,381972,100.01,128
346,Grave of the Fireflies,1988,8.5,94.0,265802,,89
347,Monty Python and the Holy Grail,1975,8.2,91.0,530460,1.23,91
348,The Trial of the Chicago 7,2020,7.7,76.0,170452,,129
349,Breakfast at Tiffany's,1961,7.6,76.0,176976,,115
350,Beauty and the Beast,1991,8.0,95.0,440828,218.97,84
351,My Cousin Vinny,1992,7.6,68.0,121246,52.93,120
352,Capernaum,2018,8.4,75.0,84125,1.66,126
353,Shaun of the Dead,2004,7.9,76.0,545268,13.54,99
354,The Bourne Identity,2002,7.9,68.0,537389,121.66,119
355,Moon,2009,7.8,67.0,353329,5.01,97
